,ID,C‡DIGO,EQUIPAMENTO,RESOLUÄ«O,CAPACIDADE,FABRICANTE,LOCAL,OPERADOR,CRITêRIO DE ACEITAÄ«O,UNIDADE DO CRITERIO DE ACEITAÄ«O,CERTIFICADO,NOMENCLATURA DO RESULTADO,ERRO,INCERTEZA DE MEDIÄ«O,RESULTADO,UNIDADE DO RESULTADO,DATA DA CALIBRAÄ«O,STATUS,PERIODICIDADE
283,284,MI-23/06,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09998/22,Erro de Paralelismo das Faces,0.00064,0.0003,0.00094,mm,2022-03-28 00:00:00,OK,6
284,285,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 0,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
285,286,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 2,500",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
286,287,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 5,100",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
287,288,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 7,700",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
288,289,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 10,300",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
289,290,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 12,900",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
290,291,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 15,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
291,292,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 17,600",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
292,293,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 20,200",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
293,294,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 22,800",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
294,295,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09980/22,"Mediá∆o Externa 25,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
295,296,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09980/22,Erro de Planeza da Face Fixa,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
296,297,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09980/22,Erro de Planeza da Face M¢vel,0.00064,0.0003,0.00094,mm,2022-03-28 00:00:00,OK,6
297,298,MI-35/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09980/22,Erro de Paralelismo das Faces,0.00096,0.0003,0.00126,mm,2022-03-28 00:00:00,OK,6
298,299,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 0,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
299,300,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 2,500",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
300,301,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 5,100",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
301,302,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 7,700",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
302,303,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 10,300",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
303,304,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 12,900",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
304,305,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 15,000",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
305,306,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 17,600",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
306,307,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 20,200",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
307,308,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 22,800",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
308,309,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09994/22,"Mediá∆o Externa 25,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
309,310,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09994/22,Erro de Planeza da Face Fixa,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
310,311,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09994/22,Erro de Planeza da Face M¢vel,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
311,312,PRO-068,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09994/22,Erro de Paralelismo das Faces,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
312,313,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,"Mediá∆o Externa 1,50 mm",0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
313,314,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,"Mediá∆o Externa 10,00 mm",0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
314,315,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,"Mediá∆o Externa 20,00 mm",0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
315,316,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,"Mediá∆o Externa 50,00 mm",0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
316,317,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,"Mediá∆o Externa 100,00 mm",0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
317,318,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,"Mediá∆o Externa 150,00 mm",0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
318,319,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,Paralelismo Externo,0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
319,320,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,Mediá∆o Interna,-0.01,0.01,0.0,mm,2022-02-11 00:00:00,OK,6
320,321,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,Paralelismo Interno,-0.01,0.01,0.0,mm,2022-02-11 00:00:00,OK,6
321,322,PA-36,Paqu°metro Digital,"0,01mm",0-150mm,Mitutoyo,CTM, ,0.025,mm,07328/22,Mediá∆o do Ressalto,0.0,0.01,0.01,mm,2022-02-11 00:00:00,OK,6
322,323,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 0,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
323,324,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 2,500",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
324,325,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 5,100",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
325,326,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 7,700",-0.002,0.002,0.0,mm,2022-03-28 00:00:00,OK,6
326,327,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 10,300",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
327,328,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 12,900",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
328,329,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 15,000",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
329,330,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 17,600",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
330,331,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 20,200",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
331,332,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 22,800",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
332,333,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09988/22,"Mediá∆o Externa 25,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
333,334,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09988/22,Erro de Planeza da Face Fixa,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
334,335,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09988/22,Erro de Planeza da Face M¢vel,0.00064,0.0003,0.00094,mm,2022-03-28 00:00:00,OK,6
335,336,MI-34/12,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09988/22,Erro de Paralelismo das Faces,0.00064,0.0003,0.00094,mm,2022-03-28 00:00:00,OK,6
336,337,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 0,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
337,338,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 2,500",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
338,339,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 5,100",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
339,340,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 7,700",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
340,341,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 10,300",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
341,342,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 12,900",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
342,343,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 15,000",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
343,344,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 17,600",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
344,345,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 20,200",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
345,346,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 22,800",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
346,347,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09983/22,"Mediá∆o Externa 25,000",-0.001,0.002,0.001,mm,2022-03-28 00:00:00,OK,6
347,348,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09983/22,Erro de Planeza da Face Fixa,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
348,349,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09983/22,Erro de Planeza da Face M¢vel,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
349,350,PRO-071,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09983/22,Erro de Paralelismo das Faces,0.00064,0.0003,0.00094,mm,2022-03-28 00:00:00,OK,6
350,351,MI-29/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 0,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
351,352,MI-29/11,Micrìmetro Externo Digital,"0,001mm","1 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 2,500",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
352,353,MI-29/11,Micrìmetro Externo Digital,"0,001mm","2 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 5,100",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
353,354,MI-29/11,Micrìmetro Externo Digital,"0,001mm","3 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 7,700",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
354,355,MI-29/11,Micrìmetro Externo Digital,"0,001mm","4 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 10,300",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
355,356,MI-29/11,Micrìmetro Externo Digital,"0,001mm","5 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 12,900",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
356,357,MI-29/11,Micrìmetro Externo Digital,"0,001mm","6 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 15,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
357,358,MI-29/11,Micrìmetro Externo Digital,"0,001mm","7 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 17,600",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
358,359,MI-29/11,Micrìmetro Externo Digital,"0,001mm","8 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 20,200",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
359,360,MI-29/11,Micrìmetro Externo Digital,"0,001mm","9 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 22,800",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
360,361,MI-29/11,Micrìmetro Externo Digital,"0,001mm","10 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09984/22,"Mediá∆o Externa 25,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
361,362,MI-29/11,Micrìmetro Externo Digital,"0,001mm","11 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09984/22,Erro de Planeza da Face Fixa,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
362,363,MI-29/11,Micrìmetro Externo Digital,"0,001mm","12 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09984/22,Erro de Planeza da Face M¢vel,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
363,364,MI-29/11,Micrìmetro Externo Digital,"0,001mm","13 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09984/22,Erro de Paralelismo das Faces,0.00064,0.0003,0.00094,mm,2022-03-28 00:00:00,OK,6
364,365,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 0,000",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
365,366,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 2,500",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
366,367,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 5,100",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
367,368,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 7,700",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
368,369,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 10,300",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
369,370,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 12,900",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
370,371,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 15,000",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
371,372,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 17,600",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
372,373,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 20,200",0.0,0.002,0.002,mm,2022-03-28 00:00:00,OK,6
373,374,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 22,800",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
374,375,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.005,mm,09991/22,"Mediá∆o Externa 25,000",0.001,0.002,0.003,mm,2022-03-28 00:00:00,OK,6
375,376,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09991/22,Erro de Planeza da Face Fixa,0.0,0.0003,0.0003,mm,2022-03-28 00:00:00,OK,6
376,377,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09991/22,Erro de Planeza da Face M¢vel,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
377,378,MI-31/11,Micrìmetro Externo Digital,"0,001mm","0 a 25 mm x 0,001 mm",Mitutoyo,o Instalaá‰es do cliente, ,0.00128,mm,09991/22,Erro de Paralelismo das Faces,0.00032,0.0003,0.00062,mm,2022-03-28 00:00:00,OK,6
